Replicate Algorithm Instance Group Result
1 2 82 17 435.516
1 2 83 17 445.631
1 2 84 17 466.648
1 2 85 17 485.947
1 2 86 18 804.539
1 2 87 18 790.602
1 2 88 18 813.798
1 2 89 18 796.229
1 2 90 18 808.744
1 2 91 19 488.033
1 2 92 19 514.504
1 2 93 19 504.782
1 2 94 19 551.937
1 2 95 19 575.049
1 2 96 20 254.619
1 2 97 20 291.413
1 2 98 20 335.647
1 2 99 20 351.065
1 2 100 20 413.993
1 2 101 21 673.694
1 2 102 21 731.268
1 2 103 21 750.779
1 2 104 21 821.575
1 2 105 21 823.762
1 2 106 22 754.463
1 2 107 22 693.722
1 2 108 22 755.108
1 2 109 22 815.383
1 2 110 22 828.688
1 2 111 23 658.776
1 2 112 23 709.684
1 2 113 23 751.441
1 2 114 23 735.721
1 2 115 23 822.736
1 2 116 24 666.383
1 2 117 24 727.785
1 2 118 24 746.465
1 2 119 24 820.703
1 2 120 24 817.043
1 2 121 25 921.853
1 2 122 25 919.645
1 2 123 25 891.938
1 2 124 25 988.728
1 2 125 25 1059.96
1 2 126 26 777.233
1 2 127 26 773.813
1 2 128 26 917.258
1 2 129 26 1276.13
1 2 130 26 1024.58
1 2 131 27 871.066
1 2 132 27 881.409
1 2 133 27 938.07
1 2 134 27 1000.12
1 2 135 27 1116.11
1 2 136 28 916.166
1 2 137 28 1171.63
1 2 138 28 1149.51
1 2 139 28 1506.08
1 2 140 28 1895.81
1 2 141 29 1115.8
1 2 142 29 1349.81
1 2 143 29 1395.65
1 2 144 29 1544.32
1 2 145 29 2422.83
1 2 146 30 1109.79
1 2 147 30 1137.39
1 2 148 30 1241.33
1 2 149 30 1292.07
1 2 150 30 1408.33
1 2 151 31 1314.63
1 2 152 31 1425.52
1 2 153 31 1464
1 2 154 31 1995.28
1 2 155 31 1881.21
1 2 156 32 1238.33
1 2 157 32 1355.76
1 2 158 32 1482.97
1 2 159 32 1773.5
1 2 160 32 1845.59
1 2 161 33 1284.02
1 2 162 33 1349
1 2 163 33 1580.84
1 2 164 33 1631.11
1 2 165 33 1792.91
1 2 166 34 558.942
1 2 167 34 698.551
1 2 168 34 786.317
1 2 169 34 822.601
1 2 170 34 893.67
1 2 171 35 749.587
1 2 172 35 854.961
1 2 173 35 992.556
1 2 174 35 1074.35
1 2 175 35 1221.66
1 2 176 36 648.264
1 2 177 36 808.904
1 2 178 36 968.311
1 2 179 36 1039.23
1 2 180 36 1301.56
1 3 1 1 222.916
1 3 2 1 227.226
1 3 3 1 229.31
1 3 4 1 238.755
1 3 5 1 250.162
1 3 6 2 229.029
1 3 7 2 220.994
1 3 8 2 229.86
1 3 9 2 255.872
1 3 10 2 241.305
1 3 11 3 284.53
1 3 12 3 287.59
1 3 13 3 286.85
1 3 14 3 279.695
1 3 15 3 357.593
